event_id,date,segment,start_time,end_time,duration_seconds,duration_minutes,n_windows,max_hybrid_score,mean_hybrid_score,max_if_score,max_ae_score,max_power_range,max_power_step,max_flat_steps_fraction,max_pf_std,global_pf_min,global_pf_max,max_pf_step,max_power_drop,max_dip_range,mean_sustained_low_fraction,total_repetitive_dip_count,max_zero_power_fraction,total_zero_power_duration_seconds,strong_event_threshold,is_strong_event,cue_sharp_spike,cue_pf_abnormal,cue_meter_freeze,cue_strong_ml,cue_deep_dip,cue_sustained_low,cue_long_zero,cue_repetitive_dips,cue_peak_hour_dip,theft_cues,is_theft_like_event
32,2024-12-04,afternoon,2024-12-04 13:25:45,2024-12-05 10:01:15,74130.0,1235.5,9,0.9058217902390469,0.46510392396231964,0.980362547082048,0.8312810333960459,3648.43,1874.1799999999998,1.0,0.09474160766116553,0.04,1.0,0.94,1856.71,2696.1858333333334,0.5907407407407407,48,1.0,2845.0,0.4941581320573496,True,False,False,True,True,False,True,True,False,False,"['Meter Freeze', 'Strong ML Anomaly', 'Sustained Low Power', 'Long Near-Zero Power']",True
33,2024-12-05,morning,2024-12-05 10:31:25,2024-12-05 10:41:25,600.0,10.0,1,0.2888906499326432,0.2888906499326432,0.5281028627945238,0.049678437070762624,1617.42,1452.82,0.11666666666666667,0.07055213793122549,0.44,1.0,0.55,1452.82,346.48741666666666,0.26666666666666666,3,0.008333333333333333,5.0,0.4941581320573496,False,False,False,False,False,False,False,True,False,True,"['Long Near-Zero Power', 'Dip During Peak Hours']",True
34,2024-12-05,morning,2024-12-05 11:21:40,2024-12-05 11:31:40,600.0,10.0,1,0.3555042957554419,0.3555042957554419,0.6672942605684568,0.04371433094242707,1964.7800000000002,1937.19,0.03333333333333333,0.022985351615515667,0.79,1.0,0.20999999999999996,1937.19,1656.6921666666667,0.15,5,0.008333333333333333,5.0,0.4941581320573496,False,False,False,False,False,False,False,True,False,True,"['Long Near-Zero Power', 'Dip During Peak Hours']",True
35,2024-12-05,afternoon,2024-12-05 17:12:30,2024-12-05 17:22:30,600.0,10.0,1,0.3329870052106169,0.3329870052106169,0.5435265829594941,0.1224474274617398,1578.3500000000001,1534.0300000000002,0.05,0.20804845522671447,0.04,1.0,0.87,1528.5300000000002,377.5945833333333,0.0,7,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
36,2024-12-05,evening,2024-12-05 20:32:45,2024-12-05 20:42:40,595.0,9.916666666666666,1,0.33262027859460186,0.33262027859460186,0.6233881975087348,0.04185235968046891,1697.1000000000001,1629.31,0.016666666666666666,0.013021349989749747,0.93,1.0,0.06999999999999995,1615.1799999999998,340.79091666666665,0.0,29,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
37,2024-12-06,morning,2024-12-06 06:35:20,2024-12-06 06:45:20,600.0,10.0,1,0.3271267737576636,0.3271267737576636,0.6099507048877424,0.04430284262758473,1818.63,1743.9,0.016666666666666666,0.0701782947609555,0.46,1.0,0.53,10.210000000000036,1190.1431666666667,0.0,9,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
38,2024-12-06,morning,2024-12-06 07:05:25,2024-12-06 07:15:20,595.0,9.916666666666666,1,0.32936915236148706,0.32936915236148706,0.6038598234121884,0.05487848131078574,1285.01,1247.38,0.041666666666666664,0.0033654700843847815,0.98,1.0,0.020000000000000018,1235.85,160.22950000000003,0.0,3,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
39,2024-12-06,morning,2024-12-06 08:55:35,2024-12-06 09:05:40,605.0,10.083333333333334,1,0.3283926454720439,0.3283926454720439,0.624813949333216,0.03197134161087174,1971.01,1810.24,0.058333333333333334,0.0496453393806732,0.65,1.0,0.35,1810.24,1480.4758333333334,0.2,11,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
40,2024-12-06,morning,2024-12-06 09:25:45,2024-12-06 09:45:55,1210.0,20.166666666666668,2,0.3548275626143309,0.32457488740500096,0.6784634382664901,0.03622215369698446,1970.93,1852.01,0.06666666666666667,0.05203838060081766,0.72,1.0,0.28,1842.44,1447.5025833333334,0.12916666666666668,10,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
41,2024-12-06,morning,2024-12-06 10:16:00,2024-12-06 10:36:00,1200.0,20.0,2,0.3335086008817529,0.30923695997463285,0.6452081479505555,0.026783849736969373,2178.69,1402.0500000000002,0.058333333333333334,0.019914923215183806,0.82,1.0,0.17000000000000004,1393.6,627.6552499999999,0.05416666666666667,12,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
42,2024-12-06,morning,2024-12-06 11:36:15,2024-12-06 12:16:20,2405.0,40.083333333333336,4,0.3599430654119717,0.32832080677636144,0.6750068022821434,0.06577072010145087,2021.1100000000001,1932.7,0.08333333333333333,0.12438414957970596,0.36,1.0,0.63,1913.6200000000001,1722.84125,0.05416666666666667,28,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
43,2024-12-06,afternoon,2024-12-06 13:26:35,2024-12-06 13:46:40,1205.0,20.083333333333332,2,0.3970324162558738,0.3785263160344409,0.6798013683349468,0.1488576279522164,2021.83,2019.1399999999999,0.05,0.2360563580305912,0.06,1.0,0.9299999999999999,1989.13,1946.1047499999997,0.0,13,0.0,0.0,0.4941581320573496,False,False,True,False,False,True,False,False,False,False,"['PF Abnormality', 'Deep Power Dip']",True
44,2024-12-06,afternoon,2024-12-06 16:41:15,2024-12-06 16:51:25,610.0,10.166666666666666,1,0.30747945926925013,0.30747945926925013,0.484291861394118,0.13066705714438226,1566.78,1489.04,0.03333333333333333,0.19644931492202597,0.04,1.0,0.95,1470.55,163.98825,0.0,3,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
45,2024-12-06,evening,2024-12-06 18:11:45,2024-12-06 18:21:45,600.0,10.0,1,0.2866898034533695,0.2866898034533695,0.47584895600955335,0.09753065089718556,1576.26,1530.24,0.016666666666666666,0.15498924693883337,0.2,1.0,0.79,1530.24,111.07141666666666,0.0,14,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
46,2024-12-06,evening,2024-12-06 20:22:05,2024-12-06 20:32:05,600.0,10.0,1,0.28584883353638446,0.28584883353638446,0.5055196339154918,0.06617803315727709,1663.35,1650.13,0.03333333333333333,0.045197022394548654,0.82,1.0,0.16000000000000003,1618.72,202.94041666666664,0.0,14,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
47,2024-12-07,night,2024-12-07 04:43:25,2024-12-07 04:53:25,600.0,10.0,1,0.4106947821727911,0.4106947821727911,0.6975927672262998,0.12379679711928242,1737.16,1732.74,0.075,0.1917724164790709,0.37,1.0,0.63,1716.32,632.0055,0.0,4,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
48,2024-12-07,morning,2024-12-07 08:03:50,2024-12-07 08:23:45,1195.0,19.916666666666668,2,0.3767253600221748,0.3664684572611177,0.6844605910309544,0.08036521123778964,2220.26,1932.42,0.016666666666666666,0.09969940933737884,0.35,1.0,0.64,1750.4299999999998,266.215,0.0,87,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,True,True,"['Repetitive Dip Pattern', 'Dip During Peak Hours']",True
49,2024-12-07,morning,2024-12-07 08:33:50,2024-12-07 09:19:10,2720.0,45.333333333333336,3,0.3661968732163266,0.3478250564822691,0.6860057587349538,0.10547006542763727,1935.83,1816.5700000000002,0.03333333333333333,0.16311786382858254,0.04,1.0,0.95,1815.57,1496.6060833333336,0.002777777777777778,32,0.008333333333333333,5.0,0.4941581320573496,False,False,False,False,False,False,False,True,False,True,"['Long Near-Zero Power', 'Dip During Peak Hours']",True
50,2024-12-07,morning,2024-12-07 10:29:50,2024-12-07 10:49:45,1195.0,19.916666666666668,2,0.37567634191398824,0.34914706671809226,0.7098241053502728,0.04152857847770366,1912.9,1910.9700000000003,0.041666666666666664,0.06976144868207813,0.52,1.0,0.47,1866.72,1509.62275,0.0,11,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
51,2024-12-07,afternoon,2024-12-07 12:29:40,2024-12-07 13:09:45,2405.0,40.083333333333336,4,0.5342525288907367,0.4343250774156428,0.9507268666199366,0.11777819116153676,4159.41,1956.98,0.06666666666666667,0.14192867927237254,0.16,1.0,0.84,1956.98,1981.1075833333332,0.0,33,0.0,0.0,0.4941581320573496,True,False,False,False,True,False,False,False,False,False,['Strong ML Anomaly'],True
52,2024-12-07,afternoon,2024-12-07 14:00:00,2024-12-07 14:29:55,1795.0,29.916666666666668,3,0.41853564026988455,0.33149332472681453,0.8134307079097164,0.07806053140935655,2021.2999999999997,2018.87,0.06666666666666667,0.1498076544550823,0.16,1.0,0.83,1956.7499999999998,255.0886666666667,0.0,16,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
53,2024-12-07,evening,2024-12-07 22:23:35,2024-12-07 22:33:35,600.0,10.0,1,0.35198042868120827,0.35198042868120827,0.6467588552020255,0.057202002160391015,1766.3300000000002,1682.94,0.05,0.01876092274442338,0.89,1.0,0.09999999999999998,1682.94,310.9833333333333,0.0,15,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
54,2024-12-08,morning,2024-12-08 06:33:55,2024-12-08 07:13:55,2400.0,40.0,4,0.40362919427085314,0.3287893880256874,0.7772440880233676,0.06343816398720578,2055.58,2036.19,0.075,0.08639958847638621,0.5,1.0,0.45999999999999996,1980.3700000000001,1954.1435,0.0,29,0.0,0.0,0.4941581320573496,False,False,False,False,False,True,False,False,False,True,"['Deep Power Dip', 'Dip During Peak Hours']",True
55,2024-12-08,morning,2024-12-08 07:24:00,2024-12-08 07:43:55,1195.0,19.916666666666668,2,0.3918133035256782,0.3501700291652672,0.7464872381873079,0.048017156774397156,1999.4599999999998,1988.0299999999997,0.075,0.112663584770472,0.48,1.0,0.51,1950.93,1763.5597500000001,0.0,6,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
56,2024-12-08,morning,2024-12-08 08:54:00,2024-12-08 09:34:05,2405.0,40.083333333333336,4,0.46633828238715996,0.3955242828568543,0.8624902720416515,0.07018629273266845,3271.31,1902.1399999999999,0.041666666666666664,0.10233085637610322,0.19,1.0,0.8,1883.0000000000002,1423.1838333333335,0.0,69,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,True,True,"['Repetitive Dip Pattern', 'Dip During Peak Hours']",True
57,2024-12-08,morning,2024-12-08 10:57:30,2024-12-08 11:19:20,1310.0,21.833333333333332,2,0.4399890843389843,0.4155225318358433,0.785289169484177,0.09468899919379162,1960.4600000000003,1928.84,0.10833333333333334,0.16965060090930678,0.06,1.0,0.9299999999999999,1926.27,997.7569166666668,0.0,56,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,True,True,"['Repetitive Dip Pattern', 'Dip During Peak Hours']",True
58,2024-12-08,afternoon,2024-12-08 17:31:25,2024-12-08 17:53:20,1315.0,21.916666666666668,2,0.30828917104790443,0.30147071492421096,0.5966216297819361,0.044699726327325204,1770.28,1621.77,0.14166666666666666,0.11500615925534886,0.31,1.0,0.6799999999999999,1621.77,251.86325,0.0,21,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
59,2024-12-08,evening,2024-12-08 18:59:05,2024-12-08 19:09:55,650.0,10.833333333333334,1,0.42921824301807227,0.42921824301807227,0.7888391262647765,0.06959735977136808,2267.28,2100.99,0.11666666666666667,0.015731912012071372,0.87,1.0,0.13,2090.34,1965.2103333333334,0.0,13,0.0,0.0,0.4941581320573496,False,True,False,False,False,True,False,False,False,True,"['Sharp Power Spike', 'Deep Power Dip', 'Dip During Peak Hours']",True
60,2024-12-08,evening,2024-12-08 19:53:40,2024-12-08 20:04:30,650.0,10.833333333333334,1,0.3124272869257143,0.3124272869257143,0.6148404947074669,0.010014079143961668,1436.91,1436.91,0.125,0.02053181812591266,0.88,1.0,0.10999999999999999,1260.48,143.51008333333334,0.0,26,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
61,2024-12-09,morning,2024-12-09 07:01:30,2024-12-09 07:23:25,1315.0,21.916666666666668,2,0.3845035003013054,0.3566244035641035,0.656194391335248,0.11281260926736275,2090.0,1571.6499999999999,0.09166666666666666,0.13746504606222223,0.07,1.0,0.9299999999999999,1502.9,485.03708333333327,0.0,87,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,True,True,"['Repetitive Dip Pattern', 'Dip During Peak Hours']",True
62,2024-12-09,morning,2024-12-09 08:28:55,2024-12-09 09:23:40,3285.0,54.75,5,0.36117769957646395,0.33795780927332436,0.676130129365352,0.07383944423528732,2039.34,1911.9199999999998,0.15833333333333333,0.1667682190613334,0.05,1.0,0.94,1879.0300000000002,1748.8125833333336,0.16499999999999998,31,0.0,0.0,0.4941581320573496,False,False,False,True,False,False,False,False,False,False,['Meter Freeze'],True
63,2024-12-09,evening,2024-12-09 18:08:30,2024-12-09 18:30:20,1310.0,21.833333333333332,2,0.3501306605673413,0.33057328495857874,0.6634255537918526,0.07066849316596929,2006.14,1878.71,0.15,0.10194603011179766,0.42,1.0,0.5800000000000001,1644.6999999999998,1798.1310833333337,0.5291666666666667,8,0.0,0.0,0.4941581320573496,False,False,False,True,False,False,True,False,False,True,"['Meter Freeze', 'Sustained Low Power', 'Dip During Peak Hours']",True
