window_id,start_time,end_time,start_idx,end_idx,if_score,ae_score,hybrid_score,if_is_anomaly,ae_is_anomaly,hybrid_is_anomaly
108,2024-11-30 20:26:15,2024-11-30 20:37:05,12960,13080,0.16010708109976904,0.03563325122277336,0.0978701661612712,False,False,False
109,2024-11-30 20:37:10,2024-11-30 20:48:00,13080,13200,0.23812283225318345,0.0026195232905998128,0.12037117777189163,False,False,False
110,2024-11-30 20:48:05,2024-11-30 20:59:00,13200,13320,0.21112365575797132,0.051511259903819946,0.13131745783089563,False,False,False
111,2024-11-30 20:59:05,2024-11-30 21:09:55,13320,13440,0.17536479765415736,0.08971545185465601,0.13254012475440669,False,True,False
112,2024-11-30 21:10:00,2024-11-30 21:20:50,13440,13560,0.11383836626564493,0.034914387830088454,0.07437637704786669,False,False,False
113,2024-11-30 21:20:55,2024-11-30 21:31:40,13560,13680,0.12775295623707847,0.02582782727681128,0.07679039175694488,False,False,False
114,2024-11-30 21:31:50,2024-11-30 21:42:35,13680,13800,0.21887097286333781,0.0010088652469772328,0.10993991905515753,False,False,False
115,2024-11-30 21:42:40,2024-11-30 21:53:30,13800,13920,0.1629266256097897,0.06954219476910106,0.11623441018944539,False,False,False
116,2024-11-30 21:53:35,2024-11-30 22:04:30,13920,14040,0.17407398996386242,0.09114302366774356,0.132608506815803,False,True,False
117,2024-11-30 22:04:35,2024-11-30 22:15:25,14040,14160,0.08239212958455719,0.06493015224837864,0.07366114091646792,False,False,False
118,2024-11-30 22:15:30,2024-11-30 22:26:20,14160,14280,0.21856022162983016,0.001998914763208611,0.11027956819651938,False,False,False
119,2024-11-30 22:26:25,2024-11-30 22:37:15,14280,14400,0.17639897867531362,0.010456192519307345,0.09342758559731049,False,False,False
120,2024-11-30 22:37:20,2024-11-30 22:48:15,14400,14520,0.2082389012185198,0.0021800853305601483,0.10520949327453998,False,False,False
121,2024-11-30 22:48:20,2024-11-30 22:59:10,14520,14640,0.17402824888600787,0.0009538469638273549,0.08749104792491762,False,False,False
122,2024-11-30 22:59:15,2024-11-30 23:10:05,14640,14760,0.20897949515382336,0.00038253649284968863,0.10468101582333653,False,False,False
123,2024-11-30 23:10:10,2024-11-30 23:21:00,14760,14880,0.16490019461788682,0.09304460320177757,0.1289723989098322,False,True,False
124,2024-11-30 23:21:05,2024-11-30 23:31:55,14880,15000,0.10715352626394449,0.0741870968289552,0.09067031154644985,False,False,False
125,2024-11-30 23:32:00,2024-11-30 23:42:50,15000,15120,0.07182619903495818,0.047566790405406956,0.05969649472018257,False,False,False
126,2024-11-30 23:42:55,2024-11-30 23:53:40,15120,15240,0.18987018136905498,0.0003883078201049868,0.09512924459457998,False,False,False
127,2024-11-30 23:53:50,2024-12-01 00:04:35,15240,15360,0.12428327868145861,0.005698979487004666,0.06499112908423163,False,False,False
128,2024-12-01 00:04:40,2024-12-01 00:15:30,15360,15480,0.13606767608131046,0.08653900756616127,0.11130334182373586,False,False,False
129,2024-12-01 00:15:35,2024-12-01 00:26:25,15480,15600,0.14690027651917947,0.06999296578491256,0.10844662115204601,False,False,False
130,2024-12-01 00:26:30,2024-12-01 00:37:25,15600,15720,0.1662326008927549,0.07099064746678867,0.11861162417977178,False,False,False
131,2024-12-01 00:37:30,2024-12-01 00:48:20,15720,15840,0.21949299856498397,0.00045338710254888743,0.10997319283376643,False,False,False
132,2024-12-01 00:48:25,2024-12-01 00:59:15,15840,15960,0.14909103011240046,0.016743138907970974,0.08291708451018572,False,False,False
133,2024-12-01 00:59:20,2024-12-01 01:10:10,15960,16080,0.17953902229130478,0.09743727171428863,0.1384881470027967,False,True,False
134,2024-12-01 01:10:15,2024-12-01 01:21:05,16080,16200,0.12210508044939207,0.05756066336484088,0.08983287190711647,False,False,False
135,2024-12-01 01:21:10,2024-12-01 01:32:05,16200,16320,0.1415271683892544,0.07647074610889543,0.10899895724907491,False,False,False
136,2024-12-01 01:32:10,2024-12-01 01:43:00,16320,16440,0.20363696806989992,0.0005788212079315937,0.10210789463891576,False,False,False
137,2024-12-01 01:43:05,2024-12-01 01:53:55,16440,16560,0.20278911250446227,0.0024207325714238914,0.10260492253794308,False,False,False
138,2024-12-01 01:54:00,2024-12-01 02:04:50,16560,16680,0.13384175117401542,0.06872838903730548,0.10128507010566046,False,False,False
139,2024-12-01 02:04:55,2024-12-01 02:15:40,16680,16800,0.13146461157423786,0.06103263841055687,0.09624862499239736,False,False,False
140,2024-12-01 02:15:50,2024-12-01 02:26:40,16800,16920,0.12265278487541244,0.05080729084002285,0.08673003785771764,False,False,False
141,2024-12-01 02:26:50,2024-12-01 02:37:35,16920,17040,0.21200496074189068,0.00045134256212435724,0.10622815165200752,False,False,False
142,2024-12-01 02:37:40,2024-12-01 02:48:35,17040,17160,0.17448489469535466,0.04454445835319926,0.10951467652427696,False,False,False
143,2024-12-01 02:48:40,2024-12-01 02:59:30,17160,17280,0.1707805383117452,0.0909219035807828,0.130851220946264,False,True,False
144,2024-12-01 02:59:35,2024-12-01 03:10:25,17280,17400,0.14789623230526014,0.07659568774385307,0.11224596002455661,False,False,False
145,2024-12-01 03:10:30,2024-12-01 03:21:20,17400,17520,0.13346190677076156,0.05560324811257578,0.09453257744166867,False,False,False
146,2024-12-01 03:21:25,2024-12-01 03:32:15,17520,17640,0.22278979413648203,0.0005636052056075102,0.11167669967104477,False,False,False
147,2024-12-01 03:32:20,2024-12-01 03:43:15,17640,17760,0.10958506114117154,0.021822293524356492,0.06570367733276401,False,False,False
148,2024-12-01 03:43:20,2024-12-01 03:54:10,17760,17880,0.16363520711131274,0.088670709193153,0.12615295815223287,False,False,False
149,2024-12-01 03:54:15,2024-12-01 04:05:05,17880,18000,0.12566368473454187,0.06604534780164349,0.09585451626809269,False,False,False
150,2024-12-01 04:05:10,2024-12-01 04:16:00,18000,18120,0.1703693334681272,0.0637959937255845,0.11708266359685585,False,False,False
151,2024-12-01 04:16:05,2024-12-01 04:26:55,18120,18240,0.20683078939405064,0.0010538659229686758,0.10394232765850966,False,False,False
152,2024-12-01 04:27:00,2024-12-01 04:37:50,18240,18360,0.12866919231936158,0.033530861546343126,0.08110002693285236,False,False,False
153,2024-12-01 04:37:55,2024-12-01 04:48:40,18360,18480,0.11734777564416712,0.06576899065202288,0.091558383148095,False,False,False
154,2024-12-01 04:48:50,2024-12-01 04:59:35,18480,18600,0.17537034931417114,0.10007402800532346,0.1377221886597473,False,True,False
155,2024-12-01 04:59:40,2024-12-01 05:10:30,18600,18720,0.5191999109378851,0.07369301197394411,0.2964464614559146,False,False,True
156,2024-12-01 05:10:35,2024-12-01 05:21:25,18720,18840,0.21408048025090143,0.0011173313817351102,0.10759890581631827,False,False,False
157,2024-12-01 05:21:30,2024-12-01 05:32:25,18840,18960,0.11668208559291536,0.050160177426170766,0.08342113150954306,False,False,False
158,2024-12-01 05:32:30,2024-12-01 05:43:20,18960,19080,0.13810811861127575,0.07841649866373589,0.10826230863750583,False,False,False
159,2024-12-01 05:43:25,2024-12-01 05:54:15,19080,19200,0.1485721258295302,0.08331931041264547,0.11594571812108784,False,False,False
160,2024-12-01 05:54:20,2024-12-01 06:05:10,19200,19320,0.13524504136117033,0.04668717690563368,0.090966109133402,False,False,False
161,2024-12-01 06:05:15,2024-12-01 06:16:05,19320,19440,0.20230879367295157,0.0030491348806774067,0.10267896427681449,False,False,False
162,2024-12-01 06:16:10,2024-12-01 06:27:00,19440,19560,0.10435228261266058,0.02152714939885832,0.06293971600575946,False,False,False
163,2024-12-01 06:27:05,2024-12-01 06:37:55,19560,19680,0.09329454927392643,0.012817513202283741,0.05305603123810508,False,False,False
164,2024-12-01 06:38:00,2024-12-01 06:48:50,19680,19800,0.1368364047790467,0.03491939048428319,0.08587789763166495,False,False,False
165,2024-12-01 06:48:55,2024-12-01 06:59:40,19800,19920,0.7758889961534838,0.07178724185091151,0.4238381190021977,True,False,True
166,2024-12-01 06:59:50,2024-12-01 07:10:35,19920,20040,0.9906993345324699,0.11456050615591314,0.5526299203441916,True,True,True
167,2024-12-01 07:10:40,2024-12-01 07:21:30,20040,20160,0.3813891785965933,0.001418822538131801,0.19140400056736256,False,False,False
168,2024-12-01 07:21:35,2024-12-01 07:32:25,20160,20280,0.334708989509099,0.0007841283692180298,0.16774655893915852,False,False,False
169,2024-12-01 07:32:30,2024-12-01 07:43:20,20280,20400,0.41340056635046674,0.0012723582307004196,0.20733646229058358,False,False,False
170,2024-12-01 07:43:25,2024-12-01 07:54:15,20400,20520,0.4249806556521452,0.0008305429705856677,0.21290559931136543,False,False,False
171,2024-12-01 07:54:20,2024-12-01 08:05:10,20520,20640,0.34572441160560685,0.0005544388118394119,0.17313942520872314,False,False,False
172,2024-12-01 08:05:15,2024-12-01 08:16:05,20640,20760,0.3657317861625768,0.009988660533278319,0.18786022334792754,False,False,False
173,2024-12-01 08:16:10,2024-12-01 08:27:00,20760,20880,0.21978963949538954,0.007294324523928195,0.11354198200965887,False,False,False
174,2024-12-01 08:27:05,2024-12-01 08:37:55,20880,21000,0.1763655074011918,0.003284546830068594,0.0898250271156302,False,False,False
175,2024-12-01 08:38:00,2024-12-01 08:48:50,21000,21120,0.17102721719131872,0.07014026831407691,0.12058374275269781,False,False,False
176,2024-12-01 08:48:55,2024-12-01 08:59:40,21120,21240,0.13390588595152034,0.07117548791751173,0.10254068693451604,False,False,False
177,2024-12-01 08:59:50,2024-12-01 09:10:35,21240,21360,0.6812829578765991,0.04692776438487356,0.3641053611307363,True,False,True
178,2024-12-01 09:10:40,2024-12-01 09:21:35,21360,21480,0.6047906577714894,0.040915616146947144,0.3228531369592183,True,False,True
179,2024-12-01 09:21:40,2024-12-01 09:33:00,21480,21600,0.23841354560030426,0.002955426922238188,0.12068448626127122,False,False,False
180,2024-12-01 09:33:05,2024-12-01 09:44:00,21600,21720,0.20971763652676373,0.09218312674856957,0.15095038163766666,False,True,False
181,2024-12-01 09:44:05,2024-12-01 09:54:55,21720,21840,0.19580769209657486,0.03845073497903264,0.11712921353780376,False,False,False
182,2024-12-01 09:55:00,2024-12-01 10:05:55,21840,21960,0.12712678963723242,0.03126299903554041,0.07919489433638642,False,False,False
183,2024-12-01 10:06:00,2024-12-01 10:16:50,21960,22080,0.4385015732173536,0.02527347221785633,0.23188752271760496,False,False,False
184,2024-12-01 10:16:55,2024-12-01 10:27:40,22080,22200,0.7545197649901492,0.14956288855997735,0.45204132677506326,True,True,True
185,2024-12-01 10:27:50,2024-12-01 10:38:40,22200,22320,0.7380059528770226,0.15942410942242052,0.44871503114972155,True,True,True
186,2024-12-01 10:38:50,2024-12-01 10:49:35,22320,22440,0.38985839050342835,0.04126691610511378,0.21556265330427107,False,False,False
187,2024-12-01 10:49:40,2024-12-01 11:00:30,22440,22560,0.17714930632653472,0.056514157995267024,0.11683173216090087,False,False,False
188,2024-12-01 11:00:35,2024-12-01 11:11:25,22560,22680,0.21516123677714208,0.1018558708820052,0.15850855382957363,False,True,False
189,2024-12-01 11:11:30,2024-12-01 11:22:20,22680,22800,0.6041256978149087,0.11358751347324295,0.3588566056440758,True,True,True
190,2024-12-01 11:22:25,2024-12-01 11:33:15,22800,22920,0.2950463925264383,0.0004684838414583908,0.14775743818394832,False,False,False
191,2024-12-01 11:33:20,2024-12-01 11:44:10,22920,23040,0.20878915816594174,0.05564781469398925,0.1322184864299655,False,False,False
192,2024-12-01 11:44:15,2024-12-01 11:55:05,23040,23160,0.12455513761345882,0.060239647046075664,0.09239739232976724,False,False,False
193,2024-12-01 11:55:10,2024-12-01 12:06:00,23160,23280,0.1023497367492146,0.03439070832605168,0.06837022253763314,False,False,False
194,2024-12-01 12:06:05,2024-12-01 12:16:55,23280,23400,0.12383423945709071,0.024089761088775415,0.07396200027293307,False,False,False
